"cui","term","target_similarity","article_count","mgb_freq","importance_score","phenotyping_features","expanded_features","symnonym_cui","symnonym_term","acronym_cui","acronym_term"
"C0011849","Diabetes Mellitus","1","96","0.6034","3.0129","true","true","C1278603","Diabetes resolved","AB0000dm","dm"
"C0011847","Diabetes","1","94","0.5842","3.0128","true","true","","","",""
"C0011860","Diabetes Mellitus, Non-Insulin-Dependent","1","94","0.6032","2.9981","true","true","","","AB00aodm; AB000mod; AB00mody; AB000t2d","aodm; mod; mody; t2d"
"C3826457","Diabetes in children","0.7897","5","0.0002","2.397","true","true","","","",""
"C0011854","Diabetes Mellitus, Insulin-Dependent","0.5543","54","0.0502","2.2879","true","true","","","AB000idd; AB00iddm; AB000jod; AB00jodm; AB000t1d","idd; iddm; jod; jodm; t1d"
"C0241863","Diabetic","0.7212","46","0.1952","2.1879","true","true","","","",""
"C0011880","Diabetic Ketoacidosis","0.3924","29","0.0062","1.9829","true","true","","","AB000dka","dka"
"C0005802","Blood Glucose","0.6906","60","0.4822","1.9327","true","true","","","",""
"C0011884","Diabetic Retinopathy","0.5412","15","0.0172","1.9037","true","true","C0342245","Disorder of eye due to diabetes mellitus","",""
"C0342257","Complications of Diabetes Mellitus","0.4597","28","0.0206","1.8776","true","true","","","",""
"C2919432","Glucose in blood specimen above reference range","0.5396","48","0.1216","1.7892","true","true","","","",""
"C0020615","Hypoglycemia","0.5011","55","0.1086","1.7722","true","true","C4553659","Hypoglycemia, CTCAE","",""
"C0020456","Hyperglycemia","0.4938","68","0.1422","1.7512","true","true","C4552833; C4686269","Hyperglycemia, CTCAE; Grade 3 Hyperglycemia, CTCAE","",""
"C4049994","Insulin Resistance Measurement","0.4097","37","0.027","1.7232","true","true","","","",""
"C5442411","Insulin therapy","0.3983","24","0.0154","1.6203","true","true","","","",""
"C0085207","Gestational Diabetes","0.3995","30","0.0264","1.6184","true","true","","","AB000gdm","gdm"
"C0021641","Insulin","0.494","65","0.2162","1.6138","true","true","C1579433","Insulin [EPC]","",""
"C0907402","Insulin Glargine","0.5818","15","0.0486","1.6082","true","true","C0876064","Lantus","",""
"C0772088","glucagon, human","0.4685","23","0.0364","1.5986","true","true","","","AB000gcg","gcg"
"C0011881","Diabetic Nephropathy","0.45","16","0.0188","1.5505","true","true","C3250566","diabetes with diabetic nephropathy","",""
"C4049919","Insulin Sensitivity Measurement","0.3762","25","0.0176","1.5254","true","true","","","",""
"C0025598","Metformin","0.5845","23","0.1488","1.5228","true","true","","","",""
"C0199782","Administration of insulin","0.4051","28","0.0346","1.4834","true","true","C3165280","Administering Insulin","",""
"C0920563","Insulin Sensitivity","0.3534","20","0.0098","1.4749","true","true","","","",""
"C0202042","Plasma Glucose Measurement","0.5049","28","0.1106","1.4617","true","true","","","",""
"C1579433","Insulin [EPC]","0.4371","65","0.2004","1.4473","true","true","C0021641","Insulin","",""
"C0202098","Insulin measurement","0.4355","65","0.2022","1.4398","true","true","C0853230","Blood insulin","",""
"C0035309","Retinal Diseases","0.4216","26","0.047","1.4371","true","true","C1557362; C1557364; C1557365; C1962966","Grade 1 Retinopathy, CTCAE; Grade 3 Retinopathy, CTCAE; Grade 4 Retinopathy, CTCAE; Retinopathy, CTCAE","",""
"C0020538","Hypertensive disease","0.6058","38","0.651","1.4361","true","true","C0085580; C0155583; C1556272; C1556273; C1556274; C1963138; C0497247","Essential Hypertension; Benign essential hypertension (disorder); Grade 1 Hypertension, CTCAE; Grade 2 Hypertension, CTCAE; Grade 3 Hypertension, CTCAE; Hypertension, CTCAE; Increase in blood pressure","AB000hbp; AB000htn","hbp; htn"
"C0011882","Diabetic Neuropathies","0.5324","10","0.0286","1.4251","true","true","C1456657; C3250511","Diabetic Nerve Problems; diabetes with diabetic neuropathy","",""
"C0356365","Insulin, Short-Acting","0.3715","13","0.0064","1.4068","true","true","","","",""
"C0151671","Glucose tolerance decreased (finding)","0.4366","17","0.0306","1.3913","true","true","","","",""
"C0011848","Diabetes Insipidus","0.3206","17","0.0064","1.3307","true","true","","","AB0000di","di"
"C0021655","Insulin Resistance","0.3094","37","0.027","1.3014","true","true","","","",""
"C1320657","Diabetes type","0.473","11","0.027","1.2974","true","true","","","",""
"C0028754","Obesity","0.4871","42","0.3934","1.2898","true","true","C1556380; C1556381; C1963185; C1563743","Class II obesity; Class III obesity; Obesity, CTCAE; adiposity","",""
"C3714501","Insulin Drug Class","0.3878","65","0.2004","1.2839","true","true","","","",""
"C0242209","Sugars","0.4798","36","0.2812","1.2757","true","true","","","",""
"C0392201","Blood glucose measurement","0.4452","63","0.4782","1.2619","true","true","","","",""
"C0007004","Carbohydrates","0.4433","49","0.341","1.2393","true","true","","","",""
"C0342299","Poor glycemic control","0.3975","8","0.0068","1.2182","true","true","","","",""
"C0220982","Ketoacidosis","0.2866","20","0.0096","1.2122","true","true","","","",""
"C0061355","Glucagon-Like Peptide 1","0.3575","13","0.0132","1.2071","true","true","","","",""
"C0202054","Glucohemoglobin measurement","0.4974","34","0.4788","1.1925","true","true","C0474680","Hemoglobin A1c measurement","",""
"C0010957","Tissue damage","0.2806","23","0.0116","1.1901","true","true","","","",""
"C0043047","Water","0.2873","26","0.0152","1.1897","true","true","","","AB00agua","agua"
"C4721402","INS protein, human","0.3545","65","0.2004","1.1737","true","true","","","",""
"C4728082","Severe hypoglycaemia","0.3723","9","0.0084","1.1727","true","true","","","",""
"C0017725","Glucose","0.4366","68","0.7728","1.1699","true","true","","","",""
"C0206172","Diabetic Foot","0.5111","5","0.012","1.169","true","true","","","",""
"C0017853","Hemoglobin, Glycosylated","0.2764","24","0.0144","1.1571","true","true","","","",""
"C3537244","Insulins","0.3185","13","0.0098","1.1482","true","true","","","",""
"C0537270","insulin detemir","0.3044","13","0.007","1.1481","true","true","C1314782","Levemir","",""
"C0022638","Ketosis","0.2806","23","0.015","1.1476","true","true","","","",""
"C2986546","Target Lesion Identification","0.248","33","0.0144","1.1291","true","true","","","",""
"C5202852","Continuous Glucose Monitoring System","0.2657","16","0.0052","1.1275","true","true","","","AB000cgm","cgm"
"C1533581","Therapeutic Insulin","0.3363","65","0.2004","1.1135","true","true","","","",""
"C0022658","Kidney Diseases","0.3676","47","0.2136","1.1111","true","true","","","",""
"C0005803","Blood Glucose Self-Monitoring","0.2959","12","0.0052","1.1061","true","true","","","",""
"C3714514","Infection","0.4933","35","0.7878","1.1004","true","true","C0009450","Communicable Diseases","",""
"C5392125","Glycemic Control","0.3278","36","0.0806","1.0978","true","true","","","",""
"C1561643","Chronic Kidney Diseases","0.4466","16","0.1038","1.0907","true","true","C4553188; C4686126; C0022661; C0403447","Chronic Kidney Disease, CTCAE; Grade 3 Chronic Kidney Disease, CTCAE; Kidney Failure, Chronic; Chronic Kidney Insufficiency","AB000ckd","ckd"
"C0304870","Insulin, Long-Acting","0.3592","11","0.0162","1.0894","true","true","","","",""
"C0586328","Subcutaneous injection of insulin","0.3968","7","0.0098","1.088","true","true","","","",""
"C0019018","Glycosylated hemoglobin A","0.4965","25","0.4778","1.0777","true","true","","","AB00hba1","hba1"
"C0240016","Insulin used","0.3503","12","0.0234","1.0762","true","true","","","",""
"C1848395","Large for gestational age","0.3419","7","0.0062","1.0575","true","true","","","AB000lga","lga"
"C0549206","Patient currently pregnant","0.3218","25","0.0608","1.0374","true","true","","","",""
"C0017687","Glucagon","0.3034","23","0.0364","1.0351","true","true","C0876232; C0020616","glucagon (rDNA); Hypoglycemic Agents","AB000gcg","gcg"
"C0021485","Injection of therapeutic agent","0.4614","33","0.7374","1.0262","true","true","","","AB00shot","shot"
"C0795635","insulin, regular, human","0.3086","65","0.2102","1.0133","true","true","C2825028; C0306371; C0307073","Insulin Analog [EPC]; Humulin R; Novolin R","",""
"C4479421","Overweight or obese","0.3115","12","0.015","1.004","true","true","","","",""
"C0158981","Neonatal diabetes mellitus","0.606","7","0.1298","1.0025","true","true","","","",""
"C0730345","Microalbuminuria","0.3764","12","0.0366","1.0002","true","true","C1654921","High urine albumin levels","",""
"C0020616","Hypoglycemic Agents","0.3165","21","0.0458","0.9823","true","true","C0017687","Glucagon","",""
"C0337438","Glucose measurement","0.3626","69","0.7716","0.9756","true","true","","","AB00gluc","gluc"
"C5400924","Intensive Care Stay Required","0.3638","11","0.0334","0.9705","true","true","","","",""
"C0442874","Neuropathy","0.3885","26","0.2428","0.9666","true","true","","","",""
"C0003850","Arteriosclerosis","0.3145","12","0.0218","0.9641","true","true","C0004153; C3665365","Atherosclerosis; Arteriosclerotic cardiovascular disease, NOS","",""
"C0004093","Asthenia","0.2657","14","0.012","0.964","true","true","C3714552","Weakness","",""
"C0010054","Coronary Arteriosclerosis","0.4582","18","0.3174","0.963","true","true","C1956346; C0151744","Coronary Artery Disease; Myocardial Ischemia","AB00ashd","ashd"
"C0359086","oral hypoglycemics","0.2824","16","0.0186","0.957","true","true","","","",""
"C0038766","Sulfonylurea Compounds","0.2137","21","0.0072","0.9487","true","true","C3536898","Sulfonylurea [EPC]","",""
"C0020459","Hyperinsulinism","0.3105","13","0.02","0.9477","true","true","C0852795","Increased insulin level","",""
"C1855652","Fetus Small for Gestational Age","0.3635","5","0.006","0.9455","true","true","","","AB00iugr","iugr"
"C0007222","Cardiovascular Diseases","0.3346","21","0.0884","0.9417","true","true","","","AB000cvd","cvd"
"C0017628","Glyburide","0.3382","10","0.0218","0.9414","true","true","C0700712; C0700718","Micronase; Diabeta","",""
"C0271650","Glucose Intolerance (disease)","0.2985","34","0.1068","0.9412","true","true","C4553202; C0159069; C0362046","Glucose Intolerance, CTCAE; abnormal glucose tolerance test; Prediabetes syndrome","",""
"C4699158","Increased risk","0.3584","34","0.3274","0.9176","true","true","","","",""
"C4084203","Improved - answer to question","0.2227","41","0.0372","0.9126","true","true","","","",""
"C0085119","Foot Ulcer","0.2583","15","0.0152","0.9119","true","true","","","",""
"C0032617","Polyuria","0.3297","31","0.1706","0.91","true","true","","","",""
"C1846288","Recurrent hypoglycemia","0.3411","8","0.0158","0.9098","true","true","","","",""
"C0015663","Fasting","0.3837","29","0.3846","0.9063","true","true","","","AB00fast","fast"
"C1408258","Kidney damage","0.4438","4","0.0122","0.8978","true","true","","","",""
"C0428554","Finding of blood glucose level","0.3012","61","0.3432","0.8941","true","true","","","",""
"C1319140","Diabetes self-management behavior","0.2798","8","0.0068","0.8936","true","true","","","",""
"C2945676","obesity in diabetes","0.4167","5","0.0186","0.8928","true","true","","","",""
"C0022661","Kidney Failure, Chronic","0.3275","13","0.0448","0.8893","true","true","C1561643; C1579029","Chronic Kidney Diseases; Chronic uremia","AB000crf; AB00esrd","crf; esrd"
"C4073162","Elevated hemoglobin A1c","0.3105","9","0.0182","0.8756","true","true","","","",""
"C0745153","Hypoglycaemic episode","0.3604","7","0.0192","0.8711","true","true","","","",""
"C0293359","Insulin Lispro","0.402","9","0.0548","0.8699","true","true","C0528249","Humalog","",""
"C3274787","Diabetes Therapy","0.5725","3","0.0146","0.8671","true","true","","","",""
"C1271104","Blood pressure finding","0.3917","34","0.824","0.8667","true","true","C0005824","Blood pressure determination","",""
"C1262477","Weight decreased","0.3544","43","0.6884","0.865","true","true","C0041667; C2911645","Underweight; Weight Loss, CTCAE","",""
"C0428405","Insulin level result","0.2585","12","0.012","0.86","true","true","","","",""
"C3840692","Before pregnancy","0.2817","8","0.008","0.8578","true","true","","","",""
"C1272641","Systemic arterial pressure","0.3834","35","0.8264","0.8545","true","true","C0005823","Blood Pressure","",""
"C0085602","Polydipsia","0.3156","26","0.1466","0.8464","true","true","","","",""
"C0008377","Cholesterol","0.4306","19","0.5674","0.8455","true","true","C0020443; C0020473; C0020476; C0543421","Hypercholesterolemia; Hyperlipidemia; Hyperlipoproteinemias; Total cholesterol","",""
"C0260526","Encounter due to family history of diabetes mellitus","0.4295","3","0.0078","0.8434","true","true","","","",""
"C0021658","insulin isophane","0.3718","7","0.0276","0.8403","true","true","C0306370; C0307071","Humulin N; Novolin N","",""
"C3670443","Excessive drinking of fluids and excessive urination","0.3509","6","0.0102","0.8358","true","true","","","",""
"C0023821","High Density Lipoproteins","0.3232","10","0.0358","0.8352","true","true","","","AB000hdl; AB00hdls","hdl; hdls"
"C1313937","Family history of diabetes mellitus","0.2925","11","0.0258","0.8334","true","true","","","",""
"C0521942","Angiotensin II receptor antagonist","0.2302","10","0.0054","0.8263","true","true","C3536793","Angiotensin 2 Receptor Blocker [EPC]","AB000arb","arb"
"C0001925","Albuminuria","0.3012","8","0.0138","0.8096","true","true","","","",""
"C3714552","Weakness","0.3912","15","0.2476","0.8083","true","true","C0004093","Asthenia","AB00weak","weak"
"C1257928","Medical Nutrition Therapy","0.3002","11","0.0314","0.806","true","true","","","",""
"C0428568","Fasting blood glucose measurement","0.2405","14","0.0166","0.806","true","true","","","",""
"C4263342","Multisection metabolic","0.3528","27","0.392","0.8018","true","true","","","",""
"C0241379","Increased thirst","0.2461","17","0.0328","0.7939","true","true","","","",""
"C3812891","All of the Time","0.4047","14","0.2122","0.7926","true","true","","","",""
"C0035078","Kidney Failure","0.3441","16","0.15","0.7896","true","true","C2316810; C1565489","Chronic kidney disease stage 5; Renal Insufficiency","AB00esrd","esrd"
"C0032962","Pregnancy Complications","0.3332","7","0.0208","0.7862","true","true","C0178292","Complications of pregnancy, childbirth and the puerperium","",""
"C0012242","Digestive System Disorders","0.2008","16","0.0096","0.7862","true","true","C0017178","Gastrointestinal Diseases","",""
"C0162275","Ketonuria","0.2183","16","0.0134","0.786","true","true","","","",""
"C0876232","glucagon (rDNA)","0.2303","23","0.0364","0.7858","true","true","C0017687","Glucagon","",""
"C1820407","Monitors blood glucose","0.2943","9","0.024","0.785","true","true","C3669205","Blood glucose monitoring (regime/therapy)","",""
"C3665347","Visual Impairment","0.4168","10","0.1778","0.7837","true","true","C0456909; C0741564; C0042798; C0547030","Blindness; Partial sight; Low Vision; Visual disturbance","",""
"C0027051","Myocardial Infarction","0.3333","25","0.308","0.7779","true","true","C4552959; C0010072","Myocardial Infarction, CTCAE; Coronary Thrombosis","AB000ami; AB0000mi; AB00mies","ami; mi; mies"
"C1956346","Coronary Artery Disease","0.3797","16","0.2964","0.7767","true","true","C0010054","Coronary Arteriosclerosis","AB000cad","cad"
"C0042373","Vascular Diseases","0.3671","12","0.1318","0.7749","true","true","","","",""
